==PROF== Connected to process 1026793 (/data/lib/podman-data/projects/goml/runs/fa_v120b_quarterphase)
NCu config: bh=64 sl=8192 hd=128 wnd=0 grid=4096
==PROF== Disconnected from process 1026793
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","56.75"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","56.11"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","56.11"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","16.34"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_barrier_per_warp_active.pct","%","2.26"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","0.93"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","%","12.13"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","%","7.03"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","%","7.26"
"0","1026793","fa_v120b_quarterphase","127.0.0.1","fa96b_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_wait_per_warp_active.pct","%","33.41"
