==PROF== Connected to process 866121 (/data/lib/podman-data/projects/goml/libs/r1a_wall)
bench_ds_gen: bh=128 sl=8192 hd=128 causal=0 warmup=5 iters=20
bench_ds_gen: FINGERPRINT kernel_ds_gen: numRegs=159, sharedSizeBytes=0, localSizeBytes=0, maxThreadsPerBlock=384
bench_ds_gen: avg_ms=36.419  tflops_2mma=120.76  (causal_factor=1.00)
==PROF== Disconnected from process 866121
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","18,130,306,560"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","","n/a"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_write.sum","","n/a"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","25.05"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpc__cycles_elapsed.avg","cycle","67,130,909.75"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","137,984,212,992"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_active","%","84.77"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","lts__t_bytes.sum","byte","134,045,356,992"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","95.80"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sectors.sum","sector","4,188,917,406"
"0","866121","r1a_wall","127.0.0.1","kernel_ds_gen(const unsigned char *, const unsigned char *, const unsigned char *, const __half *, const float *, const float *, unsigned char *, unsigned char *, int, int, int, int, int, float)","1","7","(128, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","smsp__cycles_active.avg","cycle","66,299,827.21"
